name,type,prefix,price,product,sizeImpression,sku,compositeItem,parentSku,weight,width,variant1Type,variant1Values,variant2Type,variant2Values,alias,amazon.DesCourtes,amazon.title,amazon.Title_FR,aspect,category,CompositeItem,densite,dimentions,dossier,ERPCategory,genre,height,label,length,picture_1,picture_2,picture_3,picture_4,picture_5,picture_6,picture_7,
Maniques,parent,Ph,19.9,parent,,COR_{prefix}_{skuLabel}_{color},manique-17x17,COR_Ph_{Label},50,17,color,"white,blue,black,grey,red,pink",,,HousseCoussin,,Manique de cuisine – {AmazonTitleFr} - 17 x 17 cm,,,accessories,,,,/potHolder,,unisex,1,,17,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_ph-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_ph-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_ph-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/potholder-info.png,,,,
BoiteMétal,parent,Mbx,18.9,parent,,COR_{prefix}_{skuLabel}_{color},boite-sucre-metal,COR_Mbx_{Label},150,11,color,"white,blue,black,grey,red,pink",,,,,"Boite en Métal {AmazonTitleFr} - 11 x 18,5 x 5,5 cm - Boite de rangement, clé, outils, boite à Lunch, Sucre, Biscuit",,,accessories,,,,/metal_box,,unisex,5.5,,18.2,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_mb-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_mb-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_mb-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_mb-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_5_mb-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/metalbox-info.png,,
MiroirPocheMétal,parent,Mim,12.9,parent,,COR_{prefix}_{skuLabel}_{color},Miroir-poche-metal-argent,COR_Mim_{Label},80,7,color,"white,blue,black,grey,red,pink",,,HousseCoussin,,Miroir de Poche en  - {AmazonTitleFr} - (Diamètre 70 mm),,,accessories,,,,/miroir,,unisex,,,7,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_pm-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_pm-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_pm-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/pm-blanc.png,,,,
MugCéramiqueAnseCouleur,parent,Mcc,12.9,parent,,COR_{prefix}_{skuLabel}_{color},Mug-Ceramique-Couleur-{color},COR_Mcc_{Label},360,8.1,color,"blue,red,orange,yellow,green,pink",,,mugsCeramique,,Mug de Couleur Qualité Premium  - {AmazonTitleFr} - Tasse avec anse et intérieur de couleur,,,accessories,,,,/mugCouleur,,unisex,9.6,,8.1,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_mg-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_mg-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_mg-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_mg-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_5_mg-{color_FR}_{skuLabel}.jpg,,,
Mug Céramique,parent,Mug,11.9,parent,,COR_{prefix}_{skuLabel},MugCeramique,COR_Mug_{Label},360,8.1,,,,,mugsCeramique,,Mug céramique {AmazonTitleFr},,,accessories,,,,,,unisex,9.6,,8.1,,,,,,,,
MugDoré,parent,Mgd,15.9,parent,,COR_{prefix}_{skuLabel},mug-chrome-dore,COR_Mgd_{Label},400,8.2,,,,,mugsCeramique,,Mug Doré en Céramique Chromé – {AmazonTitleFr} - 325 ml,,,accessories,,,,/mugChrome,,unisex,9.5,,8.2,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_mc_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_mc_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_mc_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_mc_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_5_mc_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_6_mc_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/mchrome-info.png,
MugIsothermosPaille,parent,Mgt,29.9,parent,,COR_{prefix}_{skuLabel},mug-thermos-500ml,COR_Mgt_{Label},232,8.5,,,,,mugsCeramique,,Mug Isotherme en Inox avec Couvercle et Paille – {AmazonTitleFr} - 500 ml - Tasse Thermo,,,accessories,,,,/mug_straw,,unisex,14.2,,8.5,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_mt_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_mt_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_mt_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/mtasse-info.png,,,,
Mug Magique,parent,Mgm,20.9,parent,,COR_{prefix}_{skuLabel},mug-magique-ceramique,COR_Mgm_{Label},400,8.2,,,,,mugsCeramique,,Mug Thermo-réactif Tasse Magique – {AmazonTitleFr} - 325 ml,,,accessories,,,,/mugMagic,,unisex,9.5,,8.2,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_mm_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_mms_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_mm_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_mm_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_mm_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_mms_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_mms_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/mmagic-info.png
MugVerrecoloré,parent,Mtr,13.9,parent,,COR_{prefix}_{skuLabel}_{color},Mug-Verre-{color},COR_Mtr_{Label},300,8,color,"blue,red,violet,yellow",,,mugsCeramique,,Mug en Verre  - {AmazonTitleFr},,,accessories,,,,/mugTransparent,,unisex,9,,8,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_mtr-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_mtr-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_mtr-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_mtr-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_5_mtr-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_6_mtr-{color_FR}_{skuLabel}.jpg,,
SetdeTableCaouctouch,parent,Srub,9.90,parent,,COR_{prefix}_{skuLabel}_{color}_{quantite},Set-table-dessous-caoutchouc,COR_Srub_{Label},150,39.5,color,"white,blue,black,grey,red,pink",quantite,"x1,x4",,,"Set de Table Dessous en Caoutchouc  - {AmazonTitleFr} - Grand Format 39,5 x 28,5 cm",,,accessories,,,,/placemats_rubber,,unisex,3,,28.5,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_pr-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_pr-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_pr-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_pr-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/plrub-info.png,,,
