name,type,mockups_name_0,mockups_path_0,mockups_name_1,mockups_path_1,variant1Type,variant1Values,variant2Type,variant2Values,alias,amazon.DesCourtes,amazon.Title_FR,aspect,category,CompositeItem,densite,dimentions,dossier,ERPCategory,genre,height,label,length,marque,parentSku,parentSkuOriginal,picture_catalog,picture_Original1,picture_Original2,prefix,price,product,remarque,sizeImpression,sku,skuLabel,stock,suffix,target_lang,tax_status,TEST,tree,variant_picture_1,variant_picture_Amazon1,variant_picture_Amazon2,variant_prixFabric,variant_saleFabric,weight,width
tshirt,alias,{label}.jpg,C:/Sync/FabulousPh/Work/FabOriginal/Mockup/Couleur/t-shirt/ht/ht-rd,{label}.jpg,C:/Sync/FabulousPh/Work/FabOriginal/Mockup/Couleur/sweat/hs,,,,,,,,0.711,,,300,1621,/tshirt,,,,,,,,,,,,,,,aucune,4500x4500,,,,,,,,,,,,,,,
TshirtHommeColRond,parent,,,,,color,"white,https://storage.googleapis.com/mockup_public{dossier}/Amazon_{color_FR}_ht-rd1_{skuLabel}.jpg,red,blue,grey,black",taille,"XS,S,M,L,XL,XXL",tshirt,{AMZfabricTextFR},T-shirt Coton Bio Homme Col Rond {fabricAmazon} {AmazonTitleFr},,adult,Bio_{prefix}_{color}_{taille},,,/TshirtHommeColRond,Bio T-Shirt Homme Col Rond,male,,,,Fabulous Original,FOR_{prefix}_{label},,,,,Bio-TSHColRnd,,tshirt,,,FOR_{prefix}_{skuLabel}_{color}_{taille},,9999,,,taxable,,{category}_{genre}_{product},https://storage.googleapis.com/mockup_public{dossier}/Amazon_{color_FR}_ht-rd1_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public{dossier}/Amazon_{color_FR}_ht-rd1_{skuLabel}.jpg,,,,120,
SweatHomme,parent,,,,,color,"white,34.90,54.90,https://storage.googleapis.com/mockup_public{dossier}/Amazon_{color_FR}_hs1_{skuLabel}.jpg,_,red,blue,black,https://storage.googleapis.com/mockup_public{dossier}/Amazon_{color_FR}_hs{mockID}_{skuLabel}.jpg,grey",taille,"XS,S,M,L,XL,XXL",tshirt,{AMZfabricTextFR},Sweat Shirt Coton Bio Homme {fabricAmazon} {AmazonTitleFr},,adult,Bio_{prefix}_{color}_{taille},,,/tshirt,Bio Sweat Homme,male,,,,Fabulous Original,FOR_{prefix}_{label},FOR_{genre}_{product}_{label},{dossier}/{mockupChoice}_{color_FR}_hs{mockID}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public{dossier}/1_{color_FR}_hs{mockID}_{skuLabel}.jpg,"https://storage.googleapis.com/mockup_public{dossier}/2_{color_FR}_hs{mockID}_{skuLabel}.jpg, https://storage.googleapis.com/mockup_public{dossier}/3_{color_FR}_hs{mockID}_{skuLabel}.jpg",Bio-SwHomme,{prixFabric},sweat,,,FOR_{prefix}_{skuLabel}__{color}_{taille},,9999,,,,,{category}_{genre}_{product},,https://storage.googleapis.com/mockup_public{dossier}/Amazon_{color_FR}_hs{mockID}_{skuLabel}.jpg,_,34.90,54.90,250,
mugsCeramique,simple,{label}.png,C:/Sync/FabulousPh/Work/FabOriginal/Mockup/Amazon/accessoires/mugs/mg-1,,,,,,,,"Le mug en Céramique de Fabulous Original vous garantit une impression indestructible et sans aucune surépaisseur. Pour des couleurs éclatantes et une image en haute définition il est traité par le dernier procédé de sublimation et vous assure une parfaite conservation pour plus de 1000 cycles de lavages.  Ce design exclusif créé par Fabulous Original est fièrement imprimé en France dans notre atelier du Tarn avec des encres écologiques certifiées OKEO TEX. Nous vous offrons une qualité d'impression exceptionnelle, conforme au plus haut standard de l'industrie, avec des couleurs éclatantes qui préserveront leurs brillances même avec le temps.",Mug Céramique {AmazonTitleFr},2.44,accessories,MugCeramique,300,1800,/mugsCeramique,MUGS,unisex,,,,Fabulous Original,FOR_{prefix}_{label},,{dossier}/{mockupChoice}_l_mg_{skuLabel}.png,https://storage.googleapis.com/mockup_public{dossier}/{mockupChoice}_l_mg_{skuLabel}.png,"https://storage.googleapis.com/mockup_public{dossier}/{mockupChoice2}_c_mg_{skuLabel}.png, https://storage.googleapis.com/mockup_public{dossier}/2_r_mg_{skuLabel}.png, https://storage.googleapis.com/mockup_public{dossier}/2_a_mg_{skuLabel}.png",MUG,9.9,mugCeramic,,2598x2598,FOR_{prefix}_{skuLabel},,9999,,,,,{category}_{genre}_{product},,,,,,400,
Test,parent,,,,,color,"white,black,red,blue,grey,green,yellow,orange,purple",taille,"XS,S,M,L,XL,XXL,3XL,4XL,5XL",tshirt,,,,,Bio_{prefix}_{color}_{taille},,,/Test,,,,,,Fabulous Original,FOR_{prefix}_{label},,,,,test,,,,,FOR_{prefix}_{skuLabel}_{color}_{taille},,9999,,,taxable,,{category}_{genre}_{product},,,,,,,
